param I := 800;
param J := 50;
param t := 
1	98
2	83
3	89
4	64
5	61
6	75
7	71
8	75
9	60
10	61
11	58
12	56
13	67
14	54
15	79
16	90
17	51
18	78
19	98
20	92
21	66
22	72
23	71
24	90
25	74
26	51
27	158
28	51
29	52
30	63
31	57
32	57
33	72
34	76
35	105
36	73
37	81
38	58
39	93
40	73
41	68
42	168
43	88
44	72
45	61
46	71
47	51
48	67
49	63
50	50
51	62
52	67
53	68
54	65
55	59
56	72
57	57
58	92
59	88
60	54
61	63
62	55
63	71
64	72
65	90
66	80
67	94
68	76
69	73
70	73
71	69
72	84
73	56
74	51
75	74
76	64
77	65
78	57
79	69
80	73
81	89
82	65
83	70
84	65
85	59
86	61
87	59
88	66
89	59
90	65
91	81
92	85
93	70
94	58
95	60
96	55
97	77
98	99
99	67
100	88
101	130
102	60
103	58
104	52
105	75
106	76
107	91
108	73
109	69
110	85
111	71
112	89
113	71
114	65
115	56
116	68
117	53
118	60
119	59
120	54
121	74
122	81
123	72
124	75
125	101
126	63
127	109
128	56
129	118
130	80
131	81
132	86
133	63
134	93
135	126
136	77
137	104
138	67
139	87
140	73
141	83
142	88
143	58
144	64
145	75
146	80
147	151
148	55
149	111
150	129
151	328
152	60
153	67
154	85
155	57
156	114
157	141
158	96
159	645
160	166
161	179
162	67
163	83
164	59
165	101
166	83
167	78
168	61
169	79
170	96
171	85
172	81
173	70
174	90
175	82
176	81
177	57
178	61
179	81
180	72
181	56
182	59
183	89
184	74
185	54
186	47
187	104
188	72
189	92
190	59
191	53
192	77
193	57
194	65
195	53
196	58
197	72
198	93
199	56
200	60
201	65
202	76
203	72
204	64
205	79
206	88
207	64
208	95
209	101
210	91
211	85
212	111
213	71
214	75
215	112
216	91
217	73
218	75
219	77
220	75
221	68
222	72
223	90
224	125
225	97
226	78
227	69
228	68
229	89
230	81
231	61
232	73
233	93
234	78
235	96
236	75
237	88
238	56
239	71
240	64
241	79
242	73
243	97
244	93
245	62
246	130
247	99
248	117
249	71
250	81
251	94
252	70
253	66
254	83
255	132
256	65
257	81
258	77
259	81
260	84
261	82
262	120
263	75
264	55
265	57
266	70
267	74
268	79
269	56
270	70
271	97
272	99
273	87
274	81
275	67
276	88
277	68
278	70
279	73
280	77
281	70
282	56
283	73
284	84
285	81
286	91
287	82
288	93
289	85
290	90
291	61
292	76
293	73
294	70
295	72
296	82
297	80
298	56
299	102
300	76
301	70
302	76
303	68
304	62
305	59
306	89
307	85
308	65
309	58
310	60
311	67
312	76
313	69
314	79
315	92
316	76
317	66
318	67
319	80
320	74
321	70
322	69
323	118
324	78
325	69
326	96
327	109
328	55
329	67
330	71
331	82
332	65
333	74
334	74
335	91
336	80
337	75
338	113
339	86
340	76
341	64
342	69
343	87
344	69
345	72
346	89
347	79
348	65
349	81
350	86
351	105
352	87
353	69
354	93
355	65
356	63
357	65
358	74
359	73
360	101
361	107
362	73
363	73
364	72
365	88
366	73
367	74
368	79
369	71
370	132
371	58
372	85
373	78
374	91
375	60
376	62
377	77
378	86
379	85
380	78
381	63
382	81
383	78
384	73
385	74
386	79
387	112
388	82
389	80
390	89
391	94
392	68
393	80
394	63
395	81
396	80
397	94
398	83
399	63
400	81
401	81
402	87
403	83
404	95
405	60
406	79
407	84
408	73
409	131
410	64
411	73
412	131
413	82
414	82
415	78
416	83
417	80
418	103
419	77
420	86
421	79
422	73
423	60
424	105
425	74
426	74
427	83
428	72
429	78
430	83
431	85
432	64
433	94
434	90
435	103
436	68
437	100
438	76
439	71
440	81
441	81
442	90
443	69
444	77
445	92
446	99
447	94
448	93
449	70
450	101
451	131
452	64
453	83
454	84
455	129
456	125
457	78
458	88
459	121
460	90
461	83
462	81
463	99
464	83
465	79
466	59
467	96
468	69
469	74
470	72
471	59
472	81
473	75
474	72
475	91
476	79
477	79
478	72
479	64
480	64
481	68
482	65
483	93
484	67
485	89
486	81
487	69
488	90
489	70
490	82
491	70
492	66
493	74
494	97
495	160
496	95
497	70
498	76
499	76
500	63
501	80
502	80
503	77
504	63
505	78
506	72
507	103
508	74
509	72
510	68
511	73
512	77
513	79
514	80
515	64
516	67
517	75
518	73
519	69
520	74
521	60
522	75
523	60
524	79
525	68
526	94
527	93
528	78
529	88
530	66
531	82
532	71
533	82
534	70
535	86
536	76
537	101
538	69
539	83
540	60
541	80
542	72
543	126
544	81
545	95
546	89
547	73
548	95
549	77
550	58
551	75
552	67
553	65
554	78
555	72
556	73
557	79
558	74
559	104
560	88
561	68
562	78
563	71
564	66
565	86
566	87
567	67
568	73
569	71
570	80
571	78
572	71
573	83
574	65
575	98
576	64
577	84
578	62
579	79
580	65
581	90
582	145
583	75
584	78
585	77
586	71
587	93
588	78
589	71
590	71
591	80
592	69
593	80
594	68
595	66
596	83
597	72
598	77
599	73
600	81
601	73
602	82
603	73
604	81
605	81
606	79
607	87
608	113
609	67
610	65
611	83
612	84
